feature_set,train_size,ansatz,encoding,sigma_noise,n_params,elapsed_s,gpu_id,sigma_epi_mean,sigma_epi_std,entropy_mean,entropy_std,vr_mean,ece,deploy_coverage
ica4,5000,custom_ansatz_1,custom_h_ry_rz,0.050380385674876925,16,20.1,2,0.010708871277386248,0.0022324061722927275,0.9847572785588352,0.00716922418167982,0.10038333333333332,0.3368697327286005,0.4225
ica4,5000,real_amplitudes,rx_embedding,0.037339271332148635,12,15.0,1,0.0006007038078428744,0.00025639650826867426,0.935860452573887,0.029474856234712615,0.0,0.29661374978323773,0.0005
ica4,5000,custom_ansatz_1,rx_embedding,0.0379599194364238,16,14.3,3,0.0008624920744337234,0.00029934188424179714,0.9359795893314348,0.02927698604747042,0.0,0.2924941728358467,0.0005
pca4,5000,strongly_entangling,rx_embedding,0.018660769617283097,24,14.8,2,0.002278222072677397,6.450173015971326e-05,0.9986167525954414,0.005915876468269437,0.010716666666666664,0.38697393166696037,0.9285
pca4,5000,strongly_entangling,ry_embedding,0.02246099927047295,24,13.9,3,0.006177397596955394,0.00019473705295801756,0.9986853898486335,0.003633867852826344,0.09491666666666666,0.3859171195959051,0.837
autoencoder,5000,real_amplitudes,iqp_embedding,0.05800808919680991,12,21.2,1,0.03528678695158043,0.006758519259193195,0.9482336826132507,0.04505936828579745,0.032883333333333334,0.28594478103915855,0.015
pca4,5000,real_amplitudes,ry_embedding,0.0236638424054246,12,16.2,0,0.008250922605889227,0.0002535363619818303,0.998796628361298,0.001405147934568946,0.060766666666666656,0.36271538606385395,0.7565
ica4,5000,strongly_entangling,amplitude_embedding,0.03860670216266678,24,12.8,2,0.008774903788110721,0.001378553315329232,0.7962128112254346,0.03184166513023565,0.0,0.04206805036157992,0.78
ica4,5000,strongly_entangling,custom_h_ry_rz,0.053799277004411096,24,17.6,3,0.013728414461513154,0.0018284044606379547,0.9629986842560359,0.03064373037763779,0.0005833333333333333,0.4467644873917103,0.124
xgb_pca4,5000,real_amplitudes,iqp_embedding,0.035097748479102076,12,22.9,1,0.010598649332421663,0.0017226205789258474,0.9522798233842139,0.030091855349647003,0.03675,0.2729122152651349,0.0
ica4,5000,real_amplitudes,custom_h_ry_rz,0.052750121090116564,12,17.2,0,0.014254133174497498,0.002143371101612327,0.9921433997204082,0.0032711368758021014,0.12121666666666665,0.3230423165207108,0.0005
autoencoder,5000,custom_ansatz_1,ry_embedding,0.04474590525846441,16,17.9,1,0.007506310492170884,0.0015337599066731543,0.9959103721470325,0.019897688633363303,0.018866666666666667,0.369324747771273,0.0535
autoencoder,5000,real_amplitudes,ry_embedding,0.04859818538548368,12,13.8,2,0.02527470569150322,0.0019255288689050444,0.9919985878718156,0.03565964057428874,0.020099999999999996,0.35689580968096846,0.061
xgb_pca4,5000,efficient_su2_like,iqp_embedding,0.04951639509280997,24,24.7,3,0.02111859335665656,0.0029157368775011246,0.9989157499042624,0.000761307796538438,0.0,0.3861548456609249,0.0
